id,label,gender,age,mask,path,is_valid
0,4,1,1,0,/opt/ml/input/data/train/images/000001_female_Asian_45/mask4.jpg,0
1,16,1,1,2,/opt/ml/input/data/train/images/000001_female_Asian_45/normal.jpg,0
2,10,1,1,1,/opt/ml/input/data/train/images/000001_female_Asian_45/incorrect_mask.jpg,0
3,4,1,1,0,/opt/ml/input/data/train/images/000001_female_Asian_45/mask3.jpg,0
4,4,1,1,0,/opt/ml/input/data/train/images/000001_female_Asian_45/mask1.jpg,0
5,4,1,1,0,/opt/ml/input/data/train/images/000001_female_Asian_45/mask2.jpg,0
6,4,1,1,0,/opt/ml/input/data/train/images/000001_female_Asian_45/mask5.jpg,0
7,4,1,1,0,/opt/ml/input/data/train/images/000002_female_Asian_52/mask4.jpg,0
8,16,1,1,2,/opt/ml/input/data/train/images/000002_female_Asian_52/normal.jpg,0
9,10,1,1,1,/opt/ml/input/data/train/images/000002_female_Asian_52/incorrect_mask.jpg,0
10,4,1,1,0,/opt/ml/input/data/train/images/000002_female_Asian_52/mask3.jpg,0
11,4,1,1,0,/opt/ml/input/data/train/images/000002_female_Asian_52/mask1.jpg,0
12,4,1,1,0,/opt/ml/input/data/train/images/000002_female_Asian_52/mask2.jpg,0
13,4,1,1,0,/opt/ml/input/data/train/images/000002_female_Asian_52/mask5.jpg,0
14,1,0,1,0,/opt/ml/input/data/train/images/000004_male_Asian_54/mask4.jpg,-100
15,13,0,1,2,/opt/ml/input/data/train/images/000004_male_Asian_54/normal.jpg,1
16,7,0,1,1,/opt/ml/input/data/train/images/000004_male_Asian_54/incorrect_mask.jpg,1
17,1,0,1,0,/opt/ml/input/data/train/images/000004_male_Asian_54/mask3.jpg,-100
18,1,0,1,0,/opt/ml/input/data/train/images/000004_male_Asian_54/mask1.jpg,-100
19,1,0,1,0,/opt/ml/input/data/train/images/000004_male_Asian_54/mask2.jpg,-100
20,1,0,1,0,/opt/ml/input/data/train/images/000004_male_Asian_54/mask5.jpg,1
21,4,1,1,0,/opt/ml/input/data/train/images/000005_female_Asian_58/mask4.jpg,0
22,16,1,1,2,/opt/ml/input/data/train/images/000005_female_Asian_58/normal.jpg,0
23,10,1,1,1,/opt/ml/input/data/train/images/000005_female_Asian_58/incorrect_mask.jpg,0
24,4,1,1,0,/opt/ml/input/data/train/images/000005_female_Asian_58/mask3.jpg,0
25,4,1,1,0,/opt/ml/input/data/train/images/000005_female_Asian_58/mask1.jpg,0
26,4,1,1,0,/opt/ml/input/data/train/images/000005_female_Asian_58/mask2.jpg,0
27,4,1,1,0,/opt/ml/input/data/train/images/000005_female_Asian_58/mask5.jpg,0
28,4,1,1,0,/opt/ml/input/data/train/images/000006_female_Asian_59/mask4.jpg,0
29,16,1,1,2,/opt/ml/input/data/train/images/000006_female_Asian_59/normal.jpg,0
30,10,1,1,1,/opt/ml/input/data/train/images/000006_female_Asian_59/incorrect_mask.jpg,0
31,4,1,1,0,/opt/ml/input/data/train/images/000006_female_Asian_59/mask3.jpg,0
32,4,1,1,0,/opt/ml/input/data/train/images/000006_female_Asian_59/mask1.jpg,0
33,4,1,1,0,/opt/ml/input/data/train/images/000006_female_Asian_59/mask2.jpg,0
34,4,1,1,0,/opt/ml/input/data/train/images/000006_female_Asian_59/mask5.jpg,0
35,4,1,1,0,/opt/ml/input/data/train/images/000007_female_Asian_58/mask4.jpg,0
36,16,1,1,2,/opt/ml/input/data/train/images/000007_female_Asian_58/normal.jpg,0
37,10,1,1,1,/opt/ml/input/data/train/images/000007_female_Asian_58/incorrect_mask.jpg,0
38,4,1,1,0,/opt/ml/input/data/train/images/000007_female_Asian_58/mask3.jpg,0
39,4,1,1,0,/opt/ml/input/data/train/images/000007_female_Asian_58/mask1.jpg,0
40,4,1,1,0,/opt/ml/input/data/train/images/000007_female_Asian_58/mask2.jpg,0
41,4,1,1,0,/opt/ml/input/data/train/images/000007_female_Asian_58/mask5.jpg,0
42,4,1,1,0,/opt/ml/input/data/train/images/000008_female_Asian_58/mask4.jpg,0
43,16,1,1,2,/opt/ml/input/data/train/images/000008_female_Asian_58/normal.jpg,0
44,10,1,1,1,/opt/ml/input/data/train/images/000008_female_Asian_58/incorrect_mask.jpg,0
45,4,1,1,0,/opt/ml/input/data/train/images/000008_female_Asian_58/mask3.jpg,0
46,4,1,1,0,/opt/ml/input/data/train/images/000008_female_Asian_58/mask1.jpg,0
47,4,1,1,0,/opt/ml/input/data/train/images/000008_female_Asian_58/mask2.jpg,0
48,4,1,1,0,/opt/ml/input/data/train/images/000008_female_Asian_58/mask5.jpg,0
49,4,1,1,0,/opt/ml/input/data/train/images/000009_female_Asian_56/mask4.jpg,0
50,16,1,1,2,/opt/ml/input/data/train/images/000009_female_Asian_56/normal.jpg,0
51,10,1,1,1,/opt/ml/input/data/train/images/000009_female_Asian_56/incorrect_mask.jpg,0
52,4,1,1,0,/opt/ml/input/data/train/images/000009_female_Asian_56/mask3.jpg,0
53,4,1,1,0,/opt/ml/input/data/train/images/000009_female_Asian_56/mask1.jpg,0
